Description,Route,Ahead Peak Month,County,,Postmile,,,Back    Peak     Hour,Back     Peak     Month,Back           AADT,Ahead Peak Hour,,Ahead AADT
"DANA POINT, JCT. RTE. 5",1,41000,ORA,R,0.129,,,,,,3800,,37600
"DANA POINT, DOHENY PARK ROAD",1,42000,ORA,R,0.78,,,3800,41000,37600,3900,,38750
BREAK IN ROUTE,1,,ORA,,4.864,,,,,,,,
"LAGUNA BEACH, MOUNTAIN ROAD",1,39500,ORA,,8.43,,,2900,39500,37100,2900,,37100
"LAGUNA BEACH, JCT. RTE. 133 NORTH",1,41500,ORA,,9.418,,,3050,41500,38600,3450,,38600
"LAGUNA BEACH, CLIFF DRIVE/ ASTER STREET",1,40000,ORA,,9.6,,,3400,40000,37500,3400,,37500
"LAGUNA BEACH, NORTH CITY LIMITS",1,39000,ORA,,11.5,,,3200,38000,35650,3200,,35650
BREAK IN ROUTE,1,,ORA,,14.057,,,,,,,,
"NEWPORT BEACH, BAYSIDE DRIVE",1,60000,ORA,R,18.073,,,4050,50000,45800,4850,,54750
"NEWPORT BEACH, DOVER DRIVE",1,53000,ORA,R,18.446,,,4300,53000,48600,4300,,48600
"NEWPORT BEACH, JCT. RTE. 55",1,53000,ORA,,19.797,,,4400,54000,49350,5400,,49350
"NEWPORT BEACH, BALBOA BLVD/SUPERIOR AVE",1,52000,ORA,,20.37,,,5500,52000,49100,5500,,49100
SANTA ANA RIVER BRIDGE,1,41000,ORA,,21.549,,,4250,41000,38650,4250,,38650
"HUNTINGTON BEACH, BROOKHURST STREET",1,42000,ORA,,22.09,,,4300,42000,39150,4350,,39150
"HUNTINGTON BEACH, JCT. RTE. 39 NORTH",1,40500,ORA,,23.739,,,4200,40500,38100,4200,,38100
"HUNTINGTON BEACH, GOLDENWEST STREET",1,40000,ORA,,25.89,,,4100,39500,37150,4100,,37150
"SUNSET BEACH, WARNER AVENUE",1,47500,ORA,,29.89,,,4950,47500,44400,4900,,44400
"SEAL BEACH, SEAL BEACH BOULVARD",1,49500,ORA,,32.721,,,4450,49000,46150,4450,,46150
LOS ANGELES/ORANGE COUNTY LINE,1,,ORA,,33.719,,,4000,45500,41600,,,
LOS ANGELES/ORANGE COUNTY LINE,1,44500,LA,,0,,,,,,3950,,41000
"LONG BEACH, BELLFLOWER BOULEVARD",1,28000,LA,,1.86,,,3350,37000,34500,2550,,26000
"LONG BEACH, JCT. RTE. 22",1,36500,LA,,1.973,,,2550,28000,26000,3400,,34000
"LONG BEACH, ANAHEIM STREET",1,30000,LA,,2.751,,,3400,36500,34000,2800,,28000
"LONG BEACH, CHERRY AVENUE",1,38500,LA,,5.011,,,3600,37500,36500,3650,,37000
"LONG BEACH, LONG BEACH BOULEVARD",1,35500,LA,,6.26,,,3200,33500,32500,3350,,34500
"LONG BEACH, JCT. RTE. 710",1,47500,LA,,7.288,,,4550,49500,40500,4350,,39000
"LONG BEACH, JCT. RTE. 103",1,36500,LA,,8.266,,,3800,41500,34000,3300,,30000
"LOS ANGELES, ALAMEDA STREET",1,40000,LA,,9.253,,,3300,36500,30000,3550,,32500
"LOS ANGELES, AVALON BOULEVARD",1,50000,LA,,10.532,,,3550,40000,33000,4350,,41000
"LOS ANGELES, JCT. RTE. 110",1,57000,LA,,11.61,,,4400,51000,41500,4250,,55000
"LOS ANGELES, VERMONT AVENUE",1,55000,LA,,12.171,,,4250,57000,55000,4200,,53000
"LOS ANGELES, NORMANDIE AVENUE",1,50000,LA,,12.523,,,4200,55000,53000,3900,,48500
"LOS ANGELES, JCT. RTE. 213",1,63000,LA,,13.1,,,3950,50000,49000,5000,,61000
"TORRANCE, CRENSHAW BOULEVARD",1,44500,LA,,14.634,,,4850,59000,58000,3800,,43500
"TORRANCE, JCT. RTE. 107",1,44500,LA,,16.005,,,3350,40000,39000,3700,,42500
"TORRANCE, PALOS VERDES BOULEVARD",1,30000,LA,,18.09,,,2750,33500,32000,2400,,29000
"REDONDO BEACH, TORRANCE BOULEVARD",1,41000,LA,,19.524,,,3250,41000,39000,3250,,39500
"HERMOSA BEACH, AVIATION BOULEVARD",1,53000,LA,,21.181,,,5100,65000,62000,4150,,50000
"HERMOSA BEACH, PIER AVENUE/14TH STREET",1,48000,LA,,21.341,,,4150,53000,50000,3750,,45500
"MANHATTAN BEACH, ARTESIA BOULEVARD",1,48500,LA,,21.919,,,3900,49500,47000,3800,,46000
"MANHATTAN BEACH, MANHATTAN BEACH BLVD",1,60000,LA,,22.9,,,4050,51000,48500,4850,,57000
"EL SEGUNDO, ROSECRANS AVENUE",1,68000,LA,,23.924,,,5400,67000,64000,5600,,65000
"EL SEGUNDO, EL SEGUNDO BOULEVARD",1,58000,LA,,24.911,,,5200,64000,61000,4800,,56000
"LOS ANGELES, JCT. RTE. 105",1,115000,LA,,25.924,,,5400,64000,62000,9700,,110000
"LOS ANGELES, LA INTN'L AIRPORT, CENTURY BLVD",1,87000,LA,,26.904,,,9700,115000,110000,7400,,84000
"LOS ANGELES, LA INTN'L AIRPORT, LINCOLN BLVD",1,41000,LA,,27.363,,,7400,87000,84000,3250,,37000
"LOS ANGELES, MANCHESTER AVENUE",1,63000,LA,,29.084,,,3750,46500,42000,5200,,56000
"LOS ANGELES, JEFFERSON BOULEVARD",1,64000,LA,,30.163,,,5200,63000,56000,5100,,58000
"LOS ANGELES, CULVER BOULEVARD",1,66000,LA,,30.474,,,5100,64000,58000,5300,,60000
"LOS ANGELES, JCT. RTE. 90",1,72000,LA,,31.29,,,4500,58000,52000,5400,,65000
"LOS ANGELES, WASHINGTON BLVD",1,51000,LA,,31.78,,,5500,75000,68000,4100,,47500
"LOS ANGELES, JCT. RTE. 187",1,45000,LA,,32.166,,,4100,51000,47500,3450,,41500
"SANTA MONICA, JCT. RTE. 10",1,66000,LA,R,34.576,,,3400,46500,43500,5800,,63000
"SANTA MONICA, OCEAN AVENUE",1,76000,LA,,35.184,,,5800,66000,63000,6700,,74000
"SANTA MONICA, CALIFORNIA AVENUE",1,84000,LA,,36.11,,,6700,76000,74000,7500,,79000
"LOS ANGELES, CHAUTAUQUA BOULEVARD",1,86000,LA,,37.045,,,7500,84000,79000,7600,,80000
"LOS ANGELES, SUNSET BOULEVARD",1,65000,LA,,39.326,,,5900,68000,63000,5600,,60000
"JCT. RTE. 27, TOPANGA CANYON BOULEVARD",1,51000,LA,,40.769,,,4900,57000,53000,4750,,49000
"MALIBU, LAS FLORES CANYON ROAD",1,43000,LA,,44.121,,,3950,43000,40500,4000,,41000
"MALIBU, CROSS CREEK ROAD",1,51000,LA,,47.091,,,4150,44500,41500,5200,,43000
"MALIBU, CIVIC CENTER WAY",1,43500,LA,,47.75,,,5200,51000,43000,4450,,36500
"MALIBU, MALIBU CANYON ROAD",1,38500,LA,,48.171,,,4450,43500,36500,3950,,32500
"MALIBU, KANAN DUME ROAD",1,34500,LA,,54.02,,,3400,33000,28000,3600,,29500
"MALIBU, TRANCAS CANYON RD/BROAD BEACH RD",1,20700,LA,,56.843,,,2800,26500,21300,2200,,16700
"MALIBU, LUNITA ROAD",1,20700,LA,,57.391,,,2200,20700,16700,2200,,16700
"MALIBU, ENCINAL CANYON ROAD",1,15100,LA,,59.401,,,1950,18300,14800,1600,,12300
"MALIBU, JCT. RTE. 23",1,14400,LA,,59.901,,,1600,15100,12300,1550,,11700
